601 128 128
700 96 96
1000 984 984
1001 908 908
1002 972 972
1003 96 96
1004 96 96
1005 96 96
1006 52 52
1007 40 40
1008 40 40
1009 40 40
1010 132 132
1011 944 944
1012 588 588
1013 104 104
1014 172 172
1015 1024 1024
1016 96 96
1017 208 208
1018 256 256
1019 320 320
1020 932 932
1021 96 96
1022 560 560
1025 184 184
1026 216 216
1027 216 216
1028 184 184
1029 184 184
1030 216 216
1031 216 216
1032 184 184
1035 132 132
1036 384 384
1037 404 404
1038 400 400
1039 496 496
1040 616 616
1041 680 680
1042 64 64
1043 224 224
1044 224 224
1045 224 224
1046 224 224
1047 224 224
1048 224 224
1049 224 224
1050 224 224
1051 456 456
1060 680 680
1061 680 680
1062 680 680
1063 456 456
1064 560 560
1066 944 944
1067 96 96
1068 96 96
1069 1080 1080
1070 216 216
1075 1000 1000
1076 1000 1000
1077 1000 1000
1078 592 592
1079 592 592
1080 256 256
1081 256 256
1082 424 424
1090 192 192
1091 56 56
1098 56 56
1099 92 92
1100 224 224
1101 224 224
1102 224 224
1103 224 224
1104 224 224
1105 224 224
1106 224 224
1107 224 224
1108 224 224
1109 224 224
1201 600 600
1202 700 700
1204 1360 1360
1205 1360 1360
1207 1220 1220
1208 1020 1020
1210 1048 1048
1211 960 960
1212 1360 1360
1213 1080 1080
1214 1440 1440
1215 944 944
1216 960 960
1351 496 496
1352 688 688
1353 808 808
1354 944 944
1360 588 588
1364 676 676
1500 184 184
1501 184 184
1502 184 184
1503 184 184
1505 320 320
1506 188 188
1507 208 208
1508 236 236
1509 212 212
1510 40 40
1511 96 96
1512 104 104
1550 400 400
1551 400 400
1560 400 400
1561 400 400
1601 464 464
1615 56 56
1616 108 108
1617 108 108
1645 420 420
1700 1246 1246
1707 96 96
1730 96 96
1732 96 96
1734 96 96
1735 96 96
1760 96 96
1761 224 224
1762 688 688
1763 192 192
1764 96 96
1765 128 128
1766 164 164
1767 108 108
1768 588 588
1769 424 424
1779 320 320
1780 320 320
1785 164 164
1786 164 164
1787 108 108
1806 224 224
1812 124 124
1813 96 96
1814 96 96
1819 184 184
1826 660 660
1832 252 252
2021 550 550
2022 424 424
2023 676 676
2024 302 302
5000 184 184
6000 184 184
6001 184 184
6003 184 184
