1 1002 224 197 1015 1010 710
2 1002 963 557 1011 11 376
3 1002 555 964 1020 381 21
4 1015 380 23 1013 54 81
5 1015 453 823 1020 919 559
6 1020 11 378 1012 532 529
7 1012 531 535 1020 23 383
8 1020 925 557 1011 453 819
9 1020 610 874 1075 360 10
10 1015 1018 710 1002 232 190
11 1015 790 480 1078 189 549
12 1078 180 546 1015 789 484
13 1015 760 510 1015 534 693
14 1015 438 659 1015 346 582
15 1015 340 554 1015 511 533
16 1015 443 586 1015 485 675
17 1015 538 690 1015 759 513
18 1015 485 783 1015 570 853
19 1015 565 852 1015 649 837
20 1015 644 838 1015 531 593
21 1015 587 601 1015 584 674
22 1015 588 679 1015 742 843
23 1015 741 837 1015 722 926
24 1015 668 909 1015 564 800
25 1015 297 597 1015 195 418
26 1015 154 414 1015 199 484
27 1015 206 487 1015 294 563
28 1015 5 377 1002 958 555
29 1002 402 388 1004 51 70
30 1004 51 73 1002 403 394
31 1000 78 320 1001 312 646
32 1001 313 652 1000 85 323
33 1011 5 377 1002 958 555
34 1000 976 668 1002 69 473
35 1020 377 9 1002 555 957
36 1011 448 823 1020 919 559
37 1028 157 90 1002 53 399
38 1011 380 24 1013 54 81
39 1013 55 87 1011 379 28
40 1013 58 22 1014 80 40
41 1014 79 33 1013 59 28
42 1015 231 431 1015 300 460
43 1015 311 464 1015 511 533
44 1015 355 443 1015 285 352
45 1015 287 358 1015 288 260
46 1015 281 255 1015 200 224
47 1015 201 229 1015 150 311
48 1015 154 306 1015 200 224
49 1015 475 347 1015 344 206
50 1015 374 222 1015 411 333
51 1015 372 165 1015 455 211
52 1015 462 215 1015 496 280
53 1015 496 288 1015 611 390
54 1015 612 398 1015 570 460
55 1008 23 29 1002 419 356
56 1075 360 5 1020 607 870
57 1020 610 874 1075 360 10
58 1020 926 557 1011 453 819
59 1020 11 377 1012 527 532
60 1020 378 9 1002 555 960
61 1005 51 73 1002 459 294
62 1015 668 908 1015 564 800
63 1015 486 783 1015 570 853
64 1015 202 230 1015 150 311
65 1015 537 690 1015 759 513
66 1015 355 442 1015 205 329
67 1015 366 165 1015 496 280
68 1015 760 511 1015 532 691
69 1015 789 480 1015 169 363
70 1015 1018 710 1002 232 190
71 1015 496 287 1015 609 390
72 1015 612 397 1015 698 520
73 1015 231 431 1015 389 499
74 1015 437 658 1015 345 597
75 1015 375 223 1015 410 332
76 1015 443 586 1015 485 675
77 1015 588 602 1015 584 674
78 1015 299 202 1015 288 260
79 1015 476 348 1015 344 206
80 1015 340 558 1015 511 533
81 1015 296 598 1015 195 418
82 1015 281 254 1015 200 224
83 1015 588 602 1015 584 674
84 1015 565 851 1015 649 837
85 1015 645 838 1015 531 593
86 1015 588 680 1015 742 843
87 1015 740 837 1015 722 926
88 1015 206 488 1015 294 561
89 1015 588 680 1015 742 843
90 1015 740 837 1015 722 926
91 1015 311 463 1015 511 533
92 1015 154 307 1015 200 224
93 1015 155 415 1015 199 484
94 1000 77 319 1001 312 646
95 1000 164 471 1077 755 872
96 1000 977 668 1002 74 464
97 1027 136 99 1000 312 11
98 1026 136 99 1020 528 890
99 1511 51 73 1002 430 380
100 1009 22 29 1002 430 380
101 1001 313 652 1000 85 323
102 1028 156 90 1002 53 399
103 1101 191 163 1002 430 380
104 1042 37 58 1002 342 723
