1 Pheasant 1 104 33 0 6 5 0 0 36 0 0 0 1 6 0 1000 500 1 3 150 0 0 0 500 99 99 99 99 99 99 99 99 1000000 1001000 0 0 0 0 7000 0
2 Turtledove 1 304 81 0 16 15 0 0 37 0 0 0 1 6 0 1000 500 7 3 360 0 0 0 500 99 0 99 99 0 0 99 1 1000000 1001000 0 0 0 0 7000 0
3 Robin 1 132 183 0 35 31 0 2 36 0 0 0 1 8 0 1000 500 12 3 480 0 0 0 500 0 1 0 0 1 1 99 3 1000000 1001000 0 0 0 0 7000 0
4 Apparition 1 108 303 0 46 42 0 2 69 0 0 0 1 8 0 1000 500 17 3 600 0 1 0 500 1 2 1 1 2 2 99 3 1000000 1001000 0 0 0 0 7000 0
5 Poltergeist 1 108 548 0 60 53 0 4 71 0 0 0 1 8 0 1000 500 22 3 660 0 1 0 500 1 3 1 1 3 3 99 5 1000010 1001010 0 0 0 0 7000 0
6 WingedSnake 1 203 667 0 73 65 0 4 73 0 0 0 1 8 0 1000 500 27 3 810 0 1 0 500 2 4 2 2 4 4 99 5 1000010 1001010 0 0 0 0 7000 0
7 Bandit 1 201 817 0 89 81 0 10 75 0 0 0 1 8 0 1000 500 32 3 930 0 1 0 500 3 5 2 2 5 5 99 7 1000010 1001010 0 0 0 0 7000 0
8 Ratling 1 202 999 0 114 103 0 14 78 0 0 0 1 8 0 1000 500 37 3 1080 0 1 0 500 3 6 3 3 6 6 99 7 1000010 1001010 0 0 0 0 7000 0
9 FireSpirit 1 202 1828 0 133 119 0 15 75 0 0 0 1 8 0 1000 500 42 3 1560 0 1 0 500 4 7 3 3 7 7 0 9 1000020 1001020 0 0 0 0 7000 0
10 Macaque 1 156 2199 0 173 156 0 18 78 0 0 0 1 8 0 1000 500 47 3 1740 0 1 0 500 4 8 4 4 8 8 1 9 1000020 1001020 0 0 0 0 7000 0
11 GiantApe 1 156 2643 0 222 200 0 18 79 0 0 0 1 8 0 1000 500 52 3 1890 0 2 0 500 5 9 5 5 9 9 2 11 1000020 1001020 0 0 0 0 7000 0
12 ThunderApe 1 103 3184 0 281 253 0 18 82 0 0 0 1 8 0 1000 500 57 3 2070 0 1 0 500 5 11 5 5 11 11 3 11 1000020 1001020 0 0 0 0 7000 0
13 Snakeman 1 204 4771 0 350 315 0 21 83 0 0 0 1 8 0 1000 500 62 3 2670 0 1 0 500 6 12 6 6 12 12 3 13 1000030 1001030 0 0 0 0 7000 0
14 SandMonster 1 131 5760 0 439 397 0 21 87 0 0 0 1 8 0 1000 500 67 3 2940 0 3 0 500 6 13 6 6 13 13 4 13 1000030 1001030 0 0 0 0 7000 0
15 HillMonster 1 105 7358 0 496 448 0 25 83 0 0 0 1 8 0 1000 500 72 3 3180 0 2 0 500 6 14 6 6 14 14 4 15 1000030 1001030 0 0 0 0 7000 0
16 RockMonster 1 105 8459 0 589 532 0 25 86 0 0 0 1 8 0 1000 500 77 3 3420 0 2 0 500 7 15 6 6 15 15 5 15 1000030 1001030 0 0 0 0 7000 0
17 BladeGhost 1 200 11673 0 691 624 0 28 87 0 0 0 1 12 0 1000 500 82 3 4200 0 1 0 500 7 16 7 7 16 16 6 17 1002000 1001040 0 0 0 0 7000 0
18 Birdman 1 205 13422 0 810 731 0 28 85 0 0 0 1 8 0 1000 500 87 3 4470 0 1 0 500 8 17 7 7 17 17 7 17 1002000 1001040 0 0 0 0 7000 0
19 HawKing 1 205 15432 0 946 855 0 28 85 0 0 0 1 10 0 1000 1000 92 3 4680 0 1 0 500 8 18 8 8 18 18 7 19 1002000 1001040 0 0 0 0 7000 0
20 TombBat 1 206 24472 0 1253 1134 0 30 86 0 0 0 1 10 0 1000 1000 102 3 5280 0 1 0 500 8 20 9 9 20 20 8 21 1002010 1002030 0 0 0 0 7000 0
21 FlyingRooster 1 304 33 0 8 7 4 0 36 0 0 0 1 8 0 1000 1000 3 3 150 0 0 0 500 99 99 99 99 99 99 99 99 1000000 1001000 0 70 0 0 7000 0
22 BlueCooer 1 304 81 0 20 19 12 0 37 0 0 0 1 8 0 1000 1000 10 3 360 0 0 0 500 99 0 99 99 0 0 99 99 1000010 1001000 0 70 0 0 7000 0
23 GameBird 1 332 183 0 44 39 34 2 36 0 0 0 1 8 0 1000 1000 15 3 480 0 0 0 500 0 1 0 0 1 1 99 0 1000020 1001000 0 70 0 0 7000 0
24 WarGhost 1 308 303 0 58 53 48 2 69 0 0 0 1 8 0 1000 1000 20 3 600 0 1 0 500 1 2 1 1 2 2 99 1 1000020 1001010 0 70 0 0 7000 0
25 BattleGhost 1 308 548 0 75 67 74 4 71 0 0 0 1 8 0 1000 1000 25 3 660 0 1 0 500 1 3 1 1 3 3 99 1 1000030 1001010 0 70 0 0 7000 0
26 FireSnake 1 403 667 0 92 82 98 4 73 0 0 0 1 8 0 1000 500 30 3 810 0 1 0 400 2 4 2 2 4 4 99 2 1000030 1001020 0 70 0 0 7000 0
27 CateranBoss 1 401 817 0 112 102 120 6 75 0 0 0 1 8 0 1000 500 35 3 930 0 1 0 400 3 5 2 2 5 5 99 2 1000030 1001020 0 70 0 0 7000 0
28 BlueElf 1 402 999 0 143 129 160 6 78 0 0 0 1 8 0 1000 500 40 3 1080 0 1 0 400 3 6 3 3 6 6 99 3 1002000 1001020 0 70 0 0 7000 0
