1000 3 100 0 57 0 0 1 0 0 11 0 105 0 0 777950 30 0 700 1
1000 4 100 0 86 0 0 1 0 0 17 0 110 0 0 0 0 0 700 1
1000 0 100 0 7 0 0 1 0 0 1 0 90 0 0 2000 0 0 700 1
1000 2 100 0 32 0 0 1 0 0 10 0 100 0 0 326107 20 0 700 1
1001 1 100 0 189 0 0 1 0 0 21 0 95 0 0 11231517 60 0 700 1
1001 3 100 0 380 0 0 1 0 0 32 0 105 0 0 0 0 0 700 1
1001 2 100 0 275 0 0 1 0 0 28 0 100 0 0 26497813 70 0 700 1
1001 0 100 0 130 0 0 1 0 0 21 0 90 0 0 4859520 40 0 700 1
1002 2 100 0 882 0 0 1 0 0 50 0 100 0 0 920692259 110 0 675 1
1002 0 100 0 505 0 0 1 0 0 32 0 90 0 0 118246825 90 0 675 1
1002 3 100 0 1166 0 0 1 0 0 64 0 105 0 0 0 0 0 675 1
1002 1 100 0 666 0 0 1 0 0 36 0 95 0 0 277035437 100 1 675 1
1005 0 100 0 20 3 0 1 0 0 10 0 90 0 0 2000 5 1 675 0
1005 4 100 0 400 3 0 1 0 0 130 0 110 0 0 0 0 1 675 0
1005 3 100 0 280 3 0 1 0 0 100 0 105 0 0 64000 35 1 675 0
1005 2 100 0 150 3 0 1 0 0 60 0 100 0 0 30000 25 1 675 0
1005 1 100 0 70 3 0 1 0 0 30 0 95 0 0 12000 15 1 675 0
1010 0 100 0 50 0 0 1 1 0 0 8 90 0 1 0 15 0 799 0
1015 0 100 0 0 0 120 3 1 3 0 0 90 0 0 0 40 1 799 0
1020 0 100 0 0 0 120 3 1 2 0 0 90 0 0 0 40 1 799 0
1025 0 100 0 0 0 20 10 1 4 0 0 90 0 0 0 40 1 799 0
1040 0 100 0 0 0 0 0 1 0 0 17 90 0 3 0 40 1 799 0
1045 2 100 0 100 2 0 1 0 0 0 5 100 20 5 741000 60 0 595 0
1045 0 100 0 100 2 0 1 0 0 0 3 90 20 5 100000 40 0 595 0
1045 1 100 0 100 2 0 1 0 0 0 4 95 20 5 300000 50 0 595 0
1045 3 100 0 100 2 0 1 0 0 0 6 105 20 5 1440000 70 0 595 0
1045 4 100 0 100 2 0 1 0 0 0 8 110 20 5 0 0 0 595 0
1046 3 100 0 100 2 0 1 0 0 0 6 105 20 5 1440000 70 0 595 0
1046 1 100 0 100 2 0 1 0 0 0 4 95 20 5 300000 50 0 595 0
1046 4 100 0 100 2 0 1 0 0 0 8 110 20 5 0 0 0 595 0
1046 2 100 0 100 2 0 1 0 0 0 5 100 20 5 741000 60 0 595 0
1046 0 100 0 100 2 0 1 0 0 0 3 90 20 5 100000 40 0 595 0
1050 0 100 0 0 0 0 0 1 7 0 0 90 0 0 0 40 0 799 0
1051 0 100 0 0 2 0 2 0 0 0 0 90 0 0 0 0 0 799 0
1055 3 100 0 400 3 0 1 0 0 440 0 105 0 1 595600 70 1 800 0
1055 4 100 0 500 3 0 1 0 0 500 0 110 0 1 0 0 1 800 0
1055 1 100 0 200 3 0 1 0 0 270 0 95 0 1 121300 50 1 800 0
1055 2 100 0 300 3 0 1 0 0 375 0 100 0 1 283900 60 1 800 0
1055 0 100 0 100 3 0 1 0 0 150 0 90 0 1 27300 40 1 800 0
1075 0 100 0 1 0 20 1 0 6 200 0 90 0 0 720 60 1 800 0
1075 3 100 0 1 0 50 1 0 6 330 0 105 0 0 1010 90 1 800 0
1075 4 100 0 1 0 60 1 0 6 360 0 110 0 0 0 0 1 800 0
1075 1 100 0 1 0 30 1 0 6 250 0 95 0 0 860 70 1 800 0
1075 2 100 0 1 0 40 1 0 6 300 0 100 0 0 960 80 1 800 0
1085 3 100 0 0 0 75 1.25 0 3 350 0 105 0 0 620 60 1 800 0
1085 4 100 0 0 0 80 1.3 0 3 400 0 110 0 0 0 70 1 800 0
1085 1 100 0 0 0 65 1.15 0 3 250 0 95 0 0 520 40 1 800 0
1085 0 100 0 0 0 60 1.1 0 3 200 0 90 0 0 430 40 1 800 0
1085 2 100 0 0 0 70 1.2 0 3 300 0 100 0 0 570 50 1 800 0
1090 3 100 0 0 0 75 1.25 0 2 350 0 105 0 0 620 60 1 800 0
1090 1 100 0 0 0 65 1.14 0 2 250 0 95 0 0 520 40 1 800 0
1090 4 100 0 0 0 80 1.29 0 2 400 0 110 0 0 0 70 1 800 0
1090 0 100 0 0 0 60 1.1 0 2 200 0 90 0 0 430 40 1 800 0
1090 2 100 0 0 0 70 1.2 0 2 300 0 100 0 0 570 50 1 800 0
1095 1 100 0 0 0 65 1.14 0 1 250 0 95 0 0 520 40 1 800 0
1095 4 100 0 0 0 80 1.29 0 1 400 0 110 0 0 0 70 1 800 0
1095 3 100 0 0 0 75 1.25 0 1 350 0 105 0 0 620 60 1 800 0
1095 2 100 0 0 0 70 1.2 0 1 300 0 100 0 0 570 50 1 800 0
1095 0 100 0 0 0 60 1.1 0 1 200 0 90 0 0 430 40 1 800 0
1100 0 100 0 0 0 0 0 0 7 1000 0 90 0 0 0 70 0 799 0
1105 0 100 0 0 0 0 0 0 0 0 0 90 0 0 0 0 1 799 0
1110 0 100 0 0 0 20 0.2 1 5 0 0 90 0 0 0 0 1 799 0
1115 1 100 0 0 2 0 0.35 0 0 0 2 180 30 3 590000 50 0 800 0
